"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","temp_mean"
"125",7,2018,1,7,2018-01-07,9.3,-0.5,1028.3,10,12.7,19,27,19.9,1.9,0,0,476,10.9
"126",6,2014,1,18,2014-01-18,38.8,35.8,1009.2,8.7,7.9,19,28,44.1,28,0,0,448,36.05
"127",4,2017,1,12,2017-01-12,47.8,45.5,1021.7,5.4,12.6,19,24.1,53.1,42.1,0.42,0,646,47.6
"128",4,2014,1,23,2014-01-23,16.5,5.1,1014.4,9.7,11.1,19,24.1,28.9,9,0,0,612,18.95
"129",7,2017,1,15,2017-01-15,33.6,24.8,1025.3,9,10.8,19,22.9,36,25,0.01,0,490,30.5
"130",2,2018,1,16,2018-01-16,32.3,28.9,1032,8.2,8.8,19,26,37.9,28,0,0,617,32.95
"131",4,2019,1,10,2019-01-10,34.9,21.2,998.6,9.7,14.7,19,32.1,46.9,32,0.01,0,580,39.45
"132",5,2018,1,12,2018-01-12,43.7,43.7,1021.7,5.6,13.4,19,27,48,30.9,0,1,704,39.45
"133",3,2017,1,18,2017-01-18,41.6,38.5,1015.9,4.5,13.8,19,24.1,44.1,36,0.26,0,549,40.05
"134",6,2016,1,2,2016-01-02,37.7,22.9,1014.3,10,12.5,19,25.1,44.1,34,0.03,0,422,39.05
"135",2,2017,1,31,2017-01-31,28.1,14.6,1013.1,8.2,9.8,19,28,39.9,21.9,0,1,571,30.9
"136",6,2019,1,12,2019-01-12,23.1,3.7,1029,10,12.9,19,28,32,18,0,0,520,25
"137",1,2013,1,21,2013-01-21,31.2,16,1015.5,9.2,10.1,20,26,45,27,0,0,355,36
"138",4,2016,1,21,2016-01-21,30.9,10.8,1015.8,10,14.5,20,27,37,25,0,0,666,31
"139",2,2018,1,2,2018-01-02,14.7,2,1024.9,10,12.9,20,31.1,18,5,0,0,654,11.5
"140",7,2019,1,6,2019-01-06,39.7,34,1007.1,9.6,13.1,20,28.9,46.9,34,0.86,0,376,40.45
"141",2,2013,1,22,2013-01-22,26.3,18.1,1011.1,6.5,10.8,20,26,32,19.9,0.14,1,544,25.95
"142",4,2016,1,14,2016-01-14,28.9,14.7,1013.1,8.1,11.4,20,27,37.9,27,0.01,0,597,32.45
"143",3,2018,1,24,2018-01-24,41.1,36.1,1008.5,8.8,13.9,20,28.9,51.1,34,0.68,1,615,42.55
"144",7,2013,1,20,2013-01-20,46.3,41.2,1010,7,14.9,20,26,50,43,0,0,393,46.5
"145",1,2018,1,15,2018-01-15,31.6,24.5,1034.9,9.1,15.4,20,25.1,37.9,25,0,0,523,31.45
"146",2,2017,1,10,2017-01-10,35.6,26.3,1037.4,10,13.6,20,NA,42.1,15.1,0,0,597,28.6
"147",6,2013,1,5,2013-01-05,37.3,24.5,1017.3,10,13.2,20,28,42.1,30.9,0,0,389,36.5
"148",1,2014,1,6,2014-01-06,46.3,45.1,1007,2.5,14.8,20,26,52,41,0.04,1,518,46.5
"149",5,2016,1,8,2016-01-08,41.3,33.1,1022.3,9.9,11.8,20,28,48,30.9,0,0,602,39.45
"150",2,2015,1,20,2015-01-20,35.7,23.4,1009.5,10,13.1,20,26,44.1,33.1,0.03,0,500,38.6
"151",5,2013,1,25,2013-01-25,19,3.3,1023.1,10,13.6,21,32.1,26.1,14,0,0,674,20.05
"152",3,2013,1,16,2013-01-16,41.6,40,1018.3,7,8.8,21,27,45,39.2,0.35,0,578,42.1
"153",2,2013,1,1,2013-01-01,38,25.6,1008.8,10,15,21,28,41,33.1,0,0,381,37.05
"154",6,2019,1,5,2019-01-05,43.8,42.4,1005.8,5,11.8,21,31.1,46.9,30.9,0.25,0,455,38.9
"155",4,2013,1,10,2013-01-10,43.5,30.4,1024,9.9,14.7,21,32.1,48,36,0,0,555,42
"156",3,2014,1,1,2014-01-01,28.2,10.4,1025.6,10,11.3,21,28.9,32,25,0,0,399,28.5
"157",4,2015,1,8,2015-01-08,13.1,-2.4,1022.7,9.9,14.8,21,29.9,27,6.1,0,0,573,16.55
"158",5,2018,1,26,2018-01-26,25.3,7,1035,10,14.4,21,31.1,32,21,0,0,677,26.5
"159",1,2019,1,21,2019-01-21,13.7,6.3,1003.4,7,17,21,33,28.9,6.1,1.5,0,412,17.5
"160",6,2014,1,4,2014-01-04,18.8,10.9,1030.5,9.3,12.1,21,26,35.1,8.1,0.01,0,418,21.6
"161",3,2013,1,23,2013-01-23,16.2,-1.1,1018.6,10,15.6,21,28.9,21.9,12.9,0.01,0,545,17.4
"162",5,2017,1,13,2017-01-13,46.8,37.5,1022.8,7.2,12.6,21,25.1,50,37.9,0.39,0,604,43.95
"163",6,2015,1,17,2015-01-17,20.2,1.9,1023.6,10,13.3,21,31.1,39.9,15.1,0,0,495,27.5
"164",2,2017,1,3,2017-01-03,44.3,40.7,1020.7,5.4,15.2,21,31.1,48.9,42.1,0.11,0,659,45.5
"165",2,2018,1,9,2018-01-09,38.3,32.3,1016.8,9.3,14.6,21,28,43,30.9,0.01,0,684,36.95
"166",1,2019,1,14,2019-01-14,32.8,22.5,1021.6,10,15.3,21,26,35.1,19.9,0,0,703,27.5
"167",3,2017,1,4,2017-01-04,46.5,43.7,996.4,6.2,13.6,21,28,53.1,42.1,0.87,1,590,47.6
