date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust
2012-01-01,2012,01,01,33.2,31.3,1020.5,999.9,2.3,3.9,999.9
2012-01-01,2012,01,01,33.6,26.8,1009.3,999.9,13.3,27.2,999.9
2012-01-01,2012,01,01,33.6,31.9,9999.9,999.9,8.9,17.5,999.9
2012-01-01,2012,01,01,33.7,21.5,9999.9,999.9,7.1,9.7,999.9
2012-01-01,2012,01,01,42.4,40.9,998.6,999.9,22.9,33.0,999.9
2012-01-01,2012,01,01,72.5,58.0,1016.3,999.9,4.0,8.0,999.9
2012-01-01,2012,01,01,61.2,9999.9,1021.4,999.9,4.6,13.0,999.9
2012-01-01,2012,01,01,47.2,9999.9,1016.6,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,82.6,57.3,1009.0,999.9,8.0,12.0,999.9
2012-01-01,2012,01,01,40.8,40.0,1004.3,999.9,21.9,32.8,39.8
2012-01-01,2012,01,01,8.2,-0.9,9999.9,999.9,5.1,12.0,28.9
2012-01-01,2012,01,01,17.3,13.0,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,67.7,61.9,1014.1,999.9,6.6,8.9,999.9
2012-01-01,2012,01,01,31.7,27.0,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,88.5,55.7,1008.9,999.9,8.6,12.0,999.9
2012-01-01,2012,01,01,15.1,6.9,1027.8,999.9,15.1,22.9,36.9
2012-01-01,2012,01,01,9.3,1.4,9999.9,999.9,6.4,11.8,24.1
2012-01-01,2012,01,01,-2.8,-9.5,1015.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,12.2,6.7,9999.9,999.9,3.9,9.9,999.9
2012-01-01,2012,01,01,31.3,28.0,992.5,999.9,7.3,13.6,999.9
2012-01-01,2012,01,01,64.0,9999.9,9999.9,999.9,8.9,15.0,999.9
2012-01-01,2012,01,01,39.0,9999.9,1024.2,999.9,2.0,4.1,999.9
2012-01-01,2012,01,01,83.9,76.1,1008.5,999.9,8.4,12.0,999.9
2012-01-01,2012,01,01,11.5,6.7,1021.7,999.9,4.7,8.0,999.9
2012-01-01,2012,01,01,8.4,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,49.1,46.4,1004.1,999.9,21.5,28.0,999.9
2012-01-01,2012,01,01,31.1,30.0,9999.9,999.9,5.0,7.8,999.9
2012-01-01,2012,01,01,84.8,77.2,1008.3,999.9,2.2,4.1,999.9
2012-01-01,2012,01,01,83.8,70.3,1007.3,999.9,3.2,15.0,999.9
2012-01-01,2012,01,01,78.8,64.9,1012.3,999.9,19.1,22.9,999.9
2012-01-01,2012,01,01,78.1,49.0,1014.2,999.9,4.2,9.9,999.9
2012-01-01,2012,01,01,77.5,53.2,1013.7,999.9,5.8,12.0,999.9
2012-01-01,2012,01,01,69.2,60.7,9999.9,999.9,3.9,7.0,999.9
2012-01-01,2012,01,01,30.1,26.5,9999.9,999.9,3.6,7.8,999.9
2012-01-01,2012,01,01,48.7,43.3,1019.2,999.9,6.7,11.1,24.1
2012-01-01,2012,01,01,20.8,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,34.4,26.3,1023.1,999.9,1.3,2.9,5.1
2012-01-01,2012,01,01,10.6,5.4,1036.9,999.9,0.7,4.1,999.9
2012-01-01,2012,01,01,20.7,20.0,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,56.6,54.1,9999.9,999.9,4.3,9.9,999.9
2012-01-01,2012,01,01,27.3,1.9,1036.4,999.9,2.3,5.1,999.9
2012-01-01,2012,01,01,71.6,61.2,9999.9,999.9,4.3,5.1,999.9
2012-01-01,2012,01,01,35.2,32.3,998.3,999.9,34.2,40.8,999.9
2012-01-01,2012,01,01,9.0,9999.9,1013.4,999.9,8.2,14.0,28.9
2012-01-01,2012,01,01,36.1,35.4,1006.6,999.9,3.9,8.0,16.9
2012-01-01,2012,01,01,47.1,43.8,1006.0,999.9,16.2,28.9,999.9
2012-01-01,2012,01,01,-4.5,-8.6,1018.9,999.9,5.1,14.0,999.9
2012-01-01,2012,01,01,41.8,9999.9,1009.7,999.9,8.4,21.0,999.9
2012-01-01,2012,01,01,41.3,9999.9,1010.3,999.9,12.6,35.0,999.9
2012-01-01,2012,01,01,34.5,33.0,1020.2,999.9,1.5,3.9,999.9
2012-01-01,2012,01,01,96.5,36.7,1008.0,999.9,11.1,15.0,999.9
2012-01-01,2012,01,01,29.8,29.1,1014.0,999.9,1.5,3.9,999.9
2012-01-01,2012,01,01,84.4,60.0,1007.1,999.9,10.0,19.0,999.9
2012-01-01,2012,01,01,83.8,48.1,1013.5,999.9,4.4,8.0,999.9
2012-01-01,2012,01,01,86.2,75.1,1007.7,999.9,4.5,8.9,999.9
2012-01-01,2012,01,01,82.6,27.5,9999.9,999.9,5.5,7.0,999.9
2012-01-01,2012,01,01,67.8,33.0,9999.9,999.9,7.2,9.9,999.9
2012-01-01,2012,01,01,41.7,28.0,9999.9,999.9,3.7,8.0,24.1
2012-01-01,2012,01,01,40.5,39.7,1007.2,999.9,10.1,13.0,999.9
2012-01-01,2012,01,01,20.9,19.4,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,35.5,33.6,1019.1,999.9,2.9,3.9,999.9
2012-01-01,2012,01,01,87.1,44.1,1012.5,999.9,8.6,12.0,999.9
2012-01-01,2012,01,01,31.8,29.2,1010.3,999.9,8.0,12.0,20.0
2012-01-01,2012,01,01,89.6,34.8,1009.5,999.9,9.6,16.9,999.9
2012-01-01,2012,01,01,-5.3,-8.5,9999.9,999.9,0.5,1.0,999.9
2012-01-01,2012,01,01,74.8,59.8,1014.0,999.9,13.0,20.0,999.9
2012-01-01,2012,01,01,82.8,66.6,1006.5,999.9,14.0,15.9,999.9
2012-01-01,2012,01,01,68.7,58.3,1016.8,999.9,5.6,13.0,999.9
2012-01-01,2012,01,01,89.1,41.2,1009.4,999.9,6.1,11.1,999.9
2012-01-01,2012,01,01,63.0,44.6,9999.9,999.9,9.4,18.1,999.9
2012-01-01,2012,01,01,70.6,62.0,9999.9,999.9,4.2,8.0,28.9
2012-01-01,2012,01,01,66.4,58.5,9999.9,999.9,11.2,15.0,999.9
2012-01-01,2012,01,01,58.0,51.6,1029.3,999.9,8.0,9.7,15.5
2012-01-01,2012,01,01,-12.6,-18.4,1032.1,999.9,0.7,1.9,999.9
2012-01-01,2012,01,01,80.3,60.8,9999.9,999.9,4.1,8.9,999.9
2012-01-01,2012,01,01,46.0,43.8,994.2,999.9,14.2,19.4,999.9
2012-01-01,2012,01,01,35.6,34.2,988.5,999.9,3.2,5.8,999.9
2012-01-01,2012,01,01,86.9,53.7,1005.2,999.9,8.7,13.0,999.9
2012-01-01,2012,01,01,66.1,61.0,1012.7,999.9,13.7,19.0,999.9
2012-01-01,2012,01,01,41.2,40.5,9999.9,999.9,21.9,33.0,999.9
2012-01-01,2012,01,01,10.4,8.1,1040.4,999.9,2.9,3.9,999.9
2012-01-01,2012,01,01,30.6,24.2,1006.1,999.9,4.8,8.9,22.0
2012-01-01,2012,01,01,26.5,24.2,9999.9,999.9,3.2,5.8,999.9
2012-01-01,2012,01,01,75.5,58.2,1014.1,999.9,11.0,18.1,999.9
2012-01-01,2012,01,01,46.1,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,-7.5,-12.9,9999.9,999.9,13.2,21.0,31.1
2012-01-01,2012,01,01,28.9,27.4,1021.6,999.9,7.4,13.6,999.9
2012-01-01,2012,01,01,57.0,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,43.8,39.4,9999.9,999.9,3.0,5.1,999.9
2012-01-01,2012,01,01,36.9,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,62.8,56.0,9999.9,999.9,12.0,22.0,999.9
2012-01-01,2012,01,01,42.6,31.4,9999.9,999.9,13.1,17.9,18.8
2012-01-01,2012,01,01,34.0,32.8,9999.9,999.9,11.8,21.0,30.9
2012-01-01,2012,01,01,32.2,29.9,1002.8,999.9,3.7,8.9,22.9
2012-01-01,2012,01,01,40.1,35.7,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,20.9,5.3,9999.9,999.9,17.2,26.0,35.0
2012-01-01,2012,01,01,81.1,73.2,1010.4,999.9,3.7,4.1,999.9
2012-01-01,2012,01,01,65.7,9999.9,9999.9,999.9,3.5,6.0,999.9
2012-01-01,2012,01,01,44.2,36.8,1022.9,999.9,22.3,27.2,999.9
2012-01-01,2012,01,01,51.9,9999.9,1019.2,999.9,4.1,9.7,999.9
2012-01-01,2012,01,01,29.1,25.8,1011.6,999.9,4.4,5.8,999.9
2012-01-01,2012,01,01,46.5,9999.9,1016.7,999.9,4.3,8.9,999.9
2012-01-01,2012,01,01,21.0,19.8,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,46.7,9999.9,1020.6,999.9,11.2,15.0,999.9
2012-01-01,2012,01,01,24.9,9999.9,1007.2,999.9,7.2,19.0,999.9
2012-01-01,2012,01,01,62.8,9999.9,1023.8,999.9,9.0,13.6,999.9
2012-01-01,2012,01,01,-5.6,-11.1,1019.2,999.9,7.1,9.9,999.9
2012-01-01,2012,01,01,-31.7,9999.9,9999.9,999.9,999.9,999.9,999.9
